"39%","XP (before v21.0)","XP","Puzzle_ID:Puzzle_name","Author","Size","Category 1","Category 2","Puzzle type","Added"
"","3570","3295","[#98496:A Strange Machine !]","Giramats04","69x79","Video","Machines","","1"
"","3115","2855","[#73777:flower]","Cream","80x80","Flowers","Painting","","2"
"","3223","3223","[#119647:Building 1]","sia02","70x70","Painting","Houses","","3"
"","3183","3183","[#102834:Thyone fusus]","Haggis the Rainbowsheep","80x80","Fish","","","4"
"","3372","3091","[#12014:Volcano]","Eternity","80x80","Nature","","","5"
"","4819","4417","[#190815:Venom]","K0rv0","80x80","Movies","Unreal","","6"
"","4581","4199","[#145487:Tabby Cat]","izi","80x80","Cats","Photorealism","","7"
"","5374","4961","[#184546:honkai star rail]","laixxn","80x80","Anime","Video","","8"
"","3182","3182","[#43486:Blazing sun]","RNKT16","74x67","Nature","Painting","","9"
"","3255","3255","[#47965:a Kiss]","Bramati","80x80","People","Love","","10"
"","3553","3257","[#162111:Vintage holiday ornaments]","kristin1973","80x80","Holidays","","","11"
"","3429","3429","[#73831:Sunny day]","Zipfish","80x80","Nature","","","12"
"","3220","2952","[#184054:Mario world]","MamaBear82","80x80","Video","","","13"
"","3124","3124","[#190238:Owl]","K0rv0","80x80","Birds","","","14"
"","3266","3266","[#101178:Tom and Jerry]","Andrei Gh0st","80x80","Cartoon","","","15"
"","3450","3162","[#8408:Garden Cat Murchik]","VIKCAT","80x80","Cats","","","16"
"","3231","3231","[#191411:Flowers]","K0rv0","80x80","Flowers","Photorealism","","17"
"","3425","3140","[#190345:Model ship]","Oscargsr","80x80","Ships","Objects","","18"
"","4187","3838","[#102027:Junko Enoshima]","ered","80x80","Anime","Video","","19"
"","5611","5180","[#146970:Madonna]","Dimsum","75x80","People","Photorealism","","20"
"","3590","3314","[#184871:Demon Maiden]","K0rv0","80x80","Fantasy","Unreal","","21"
"","3779","3464","[#187646:Jaguar]","Mahla","80x80","Animals","Photorealism","","22"
"","3360","3080","[#162652:Frankenfurter RHPS]","kristin1973","80x80","Movies","People","","23"
"","3582","3582","[#81368:Space jelly]","Marco818","80x80","Space","","","24"
"","3876","3876","[#144175:Tree mosaic]","Lyysaq","80x80","Plants","Designs","","25"
"","3424","3160","[#188553:Cat]","K0rv0","80x80","Cats","","","26"
"","4101","4101","[#191907:Pokemon Fusion]","FuryBreaker","80x80","Video","Super","","27"
"","3789","3473","[#152783:Revolver - The Beatles]","DGTheMii","80x80","Music","","","28"
"","3403","3120","[#144725:Bleach]","ayakasumiria","80x80","Anime","","","29"
"","3300","3025","[#170963:The Crossblade smokes]","Mushroom-World","80x80","Unreal","Twilight","","30"
"","3504","3212","[#189706:Pokemon Fusion]","FuryBreaker","80x80","Video","Super","","31"
"","3272","3000","[#177776:Pneuma]","ohihi","80x80","Anime","Video","","32"
"","3055","3055","[#119797:Buddy Holly]","TaraRise","80x80","People","Photorealism","","33"
"","3145","2883","[#145803:Eva Mendes]","Dimsum","80x80","People","Photorealism","","34"
"","3054","2819","[#86960:Est]","LordOfChaos69","80x76","Anime","","","35"
"","3323","3323","[#169996:Boreal Owl]","Mike1955","80x80","Birds","Photorealism","","36"
"","3024","3024","[#190333:Squirrel]","K0rv0","80x80","Animals","","","37"
"","3264","3264","[#188742:Forest]","ScintillantB","80x55","Nature","","","38"
"","3062","2807","[#190012:DNA]","Literalliterary","80x80","Science","","","39"
"","3328","3328","[#86357:10x10]","AreSB","80x80","Houses","Games","","40"
"","3296","3021","[#184171:Casa]","iceeydasartes","80x80","Houses","","","41"
"","3296","3296","[#165588:Cuadradits XIX]","Chajandreaito","80x80","Designs","","","42"
"","3420","3420","[#33549:Zekrom]","Sydybean","80x80","Super","","","43"
"","3102","3102","[#109532:Creepy Thing - 4.11]","Schaetzli","80x80","Unreal","","","44"
"","3081","3081","[#172904:Wren]","RNKT16","80x80","Birds","Photorealism","","45"
"","3448","3161","[#190293:Pokemon Fusion]","FuryBreaker","80x77","Video","Super","","46"
"","3552","3552","[#114832:Swans]","Marianne1979","75x80","Birds","","","47"
"","3935","3632","[#191110:cross-stitch]","cross_stitch","80x80","Animals","Nature","","48"
"","3433","3169","[#190782:Dog]","K0rv0","80x80","Dogs","","","49"
"","3397","3114","[#190913:Flowers]","K0rv0","80x80","Flowers","","","50"
"","3128","3128","[#190467:Christmas bells]","K0rv0","80x80","Holidays","Objects","","51"
"","3526","3232","[#95183:Delicious Pizza]","Schaetzli","80x80","Food","","","52"
"","3464","3464","[#70304:Orange Pompom Dahlia]","minkimandola","70x75","Flowers","","","53"
"","3244","2974","[#169000:Angry panda]","El'ka","80x80","Cartoon","Animals","","54"
"","3190","3190","[#162265:Squirt]","Dracob","80x75","Cartoon","Fish","","55"
"","3003","3003","[#190724:Entei]","Hyperion914","80x80","Video","Super","","56"
"","3071","3071","[#89842:Good morning, puppy!]","L E B lll A","80x80","Dogs","","","57"
"","3255","2984","[#175836:Hide and seek]","Dimsum","80x80","Cats","Plants","","58"
"","3480","3190","[#151085:Woman]","Asbjorg","80x80","People","Photorealism","","59"
"","3447","3447","[#117285:Octopus]","Marianne1979","80x80","Animals","Painting","","60"
"","3423","3423","[#190704:Pokemon Fusion]","FuryBreaker","80x80","Video","Super","","61"
"","3117","2857","[#178847:Kokoro]","the agreste","80x80","Anime","Music","","62"
"","3026","3026","[#151461:Pinocchio]","kristin1973","80x80","Cartoon","Fantasy","","63"
"","3384","3384","[#159149:Gold and Gems]","AshenThrone","80x80","Designs","Clothes","","64"
"","3419","3134","[#41868:Time for a cup of tea]","Street Fighter","80x80","Food","","","65"
"","3951","3647","[#191457:Glaking]","Hyperion914","72x80","Video","Super","","66"
"","3362","3082","[#170924:31. Anthony Albanese]","DGTheMii","80x80","People","History","","67"
"","3502","3502","[#184373:Pokemon Fusion]","FuryBreaker","80x80","Video","Super","None","68"
"","3215","3215","[#109426:The Umbrella Academy]","lika_ka_13","80x80","Movies","People","","69"
"","3485","3194","[#187762:Pokemon Fusion]","FuryBreaker","80x80","Video","Super","","70"
"","3323","3323","[#162343:Woven Together 5 - Dusty]","AshenThrone","80x80","Designs","","","71"
"","3220","3220","[#145991:Who's in the bottle? 8]","Osoca","80x70","Dragons","Flowers","","72"
"","3119","3119","[#191764:Folk art 42: Bulgaria]","aging69","80x80","Designs","Around","","73"
"","3349","3070","[#188554:Girl]","K0rv0","80x80","Flowers","People","","74"
"","3213","2946","[#119315:Ocean-eyed cat]","kseenesis","70x80","Cats","Photorealism","","75"
"","3446","3181","[#190828:Cosmonaut]","K0rv0","80x80","Fiction","People","","76"
"","3217","3217","[#155812:S3E10 Find the balance (Adventure)]","WanLing","80x80","Insects","","","77"
"","3563","3563","[#190421:Daryl]","Late555","80x80","Movies","People","","78"
"","3529","3529","[#143988:Platanus x hispanica]","DraKay","80x80","Plants","","","79"
"","3052","2797","[#175923:Mothership]","Arsynic","80x80","Music","","","80"
"","3468","3201","[#191469:maskd rider - GEATS]","ayakasumiria","80x80","Movies","Super","","81"
"","3806","3489","[#178320:Woman and Lavender]","Anastation","80x80","People","","","82"
"","3813","3813","[#79154:Athena]","Alud","80x80","History","","","83"
"","3641","3338","[#33550:Shiny Reshiram]","Sydybean","80x80","Super","","","84"
"","3712","3712","[#188066:Small Countryside]","Sevenking","80x80","Nature","Houses","","85"
"","3111","3111","[#162635:I Love The StarDust I Was Made From....]","JodeStar","80x80","Fiction","Space","","86"
"","3548","3252","[#116588:Stargazer Carnation]","Brie","80x80","Flowers","","","87"
"","3220","3220","[#189776:The One Ring]","Nononoobie","80x80","Fantasy","Objects","","88"
"","3245","3245","[#187784:Easy 60 MP puzzles list in the comments]","DasMia","80x80","Video","Smiles","","89"
"","3069","3069","[#164245:Squares CLXXIX]","Urszula","80x80","Designs","","","90"
"","3066","3066","[#183085:+++Squares 170]","kata57","80x80","Designs","","","91"
"","3066","3066","[#150043:Squares 1]","kata57","80x80","Designs","","","92"
