"0%","XP (before v21.0)","XP","Puzzle_ID:Puzzle_name","Author","Size","Category 1","Category 2","Puzzle type","Added"
"","3005","2774","[#103298:Zombie]","Draco Machination","80x80","Unreal","","","1"
"","2983","2754","[#166558:A lot of Skulls]","skullgirl","80x80","Unreal","","","2"
"","2066","~1893","[#145125:Tiger]","AJ7411","80x80","Animals","","","3"
"","2316","~2137","[#72380:Cat]","SHAMKIREC","80x80","Cats","","","4"
"","2918","2693","[#50895:Nest]","Street Fighter","80x76","Birds","","","5"
"","2568","~2370","[#113058:Black Skull 2.0]","skullgirl","78x80","Unreal","Painting","","6"
"","2109","~1946","[#159326:Bachira]","the agreste","80x80","Anime","Sport","","7"
"","2488","2297","[#162967:ONE PIECE - SANJI]","ayakasumiria","80x80","Anime","","","8"
"","2069","~1909","[#78292:(Aang,Kora)]","kristalaks","80x80","Cartoon","Symbols","","9"
"","2365","~2183","[#46444:Alice in Wonderland]","Ksana","80x80","Movies","Fantasy","","10"
"","2470","2470","[#15482:Electrical panel]","krovosos","80x80","Machines","","","11"
"","2109","~1933","[#43052:Pirate's ship]","Undrick","80x80","Pirates","Ships","","12"
"","3442","3177","[#112509:Black Skull 1.0]","skullgirl","80x80","Unreal","Painting","","13"
"","3609","3331","[#62684:Lotus flower]","Jobedash","80x80","Flowers","","","14"
"","3010","2779","[#86735:CHUNITHM""Lilyalice Colchicum""]","KSK_Shizuno","80x80","Anime","Video","","15"
"","2737","~2508","[#41624:Vase with Flowers]","Alexroma5","80x80","Flowers","","","16"
"","2641","~2420","[#143653:Wreath]","Blooming Lynx","80x80","Cats","Flowers","","17"
"","2587","2388","[#150291:Dragon]","DraKay","80x80","Dragons","","","18"
"","2401","2216","[#142003:Swallow on a branch with flowers]","Lisenok_chiffa","80x80","Birds","Flowers","","19"
"","2422","2236","[#165683:Mickey to catch a thief]","Mitsakos","80x80","Cartoon","","","20"
"","2092","~1931","[#164892:Square 10]","Netwale","80x80","Designs","","","21"
"","2059","2059","[#141516:Spirals]","bobbie420","80x80","Designs","","","22"
"","2040","2040","[#129883:Snake]","yunzen","80x80","Designs","","","23"
"","3110","2871","[#85835:Bearclaw]","savrage","80x80","Animals","Painting","","24"
"","2842","2623","[#100443:Long is the road]","toufraita2","80x80","Nature","","","25"
"","2616","2415","[#154317:Tree]","Dragofly","80x80","Plants","","","26"
"","2398","2398","[#153737:""Ellen Terry at Age Sixteen"" (Cameron)]","Lysy Jan FOX","80x80","People","History","","27"
"","3693","3409","[#58252:Tarot - AEther Realm]","TheComet811","80x80","Painting","Music","","28"
"","2926","2701","[#87217:CHUNITHM""Makino Moco""]","KSK_Shizuno","80x80","Anime","Video","","29"
"","3776","3485","[#91493:the most difficult maze]","Sora7","80x80","Adventures","Games","","30"
"","2433","2433","[#135295:Hydra Greek Island]","Anglo.in.Saxony","80x80","Houses","Adventures","","31"
"","2554","2357","[#159400:Eagle]","Lisenok_chiffa","80x80","Birds","","","32"
"","2546","2350","[#103879:Jotaro Kujo]","cl0n3","80x80","Anime","Super","","33"
"","2533","2338","[#151134:Einstein]","Late555","80x80","People","","","34"
"","2558","2362","[#44386:Bastet]","LUNA-CROIX","80x80","Video","Egypt","","35"
"","2545","~2332","[#80676:Trippy apple]","Marco818","80x80","Fiction","","","36"
"","2697","~2472","[#53470:Knight""3""]","Alexroma5","80x80","History","Weapons","","37"
"","2533","2338","[#73742:THE EYE!!!!!!!]","Ephemera","80x80","Photorealism","","","38"
"","2366","~2168","[#53469:Knight""2""]","Alexroma5","80x80","History","Weapons","","39"
