"0%","Puzzle ID:Puzzle Name","Author","XP (before v21.0)","XP","Size","Category 1","Category 2","Puzzle type","Added"
"","[#98496:A Strange Machine !]","Giramats04","3570","3295","69x79","Video","Machines","","1"
"","[#119647:Building 1]","sia02","3223","3223","70x70","Painting","Houses","","2"
"","[#102834:Thyone fusus]","Haggis the Rainbowsheep","3183","3183","80x80","Fish","","","3"
"","[#12014:Volcano]","Eternity","3372","3091","80x80","Nature","","","4"
"","[#190815:Venom]","K0rv0","4819","4417","80x80","Movies","Unreal","","5"
"","[#145487:Tabby Cat]","izi","4581","4199","80x80","Cats","Photorealism","","6"
"","[#184546:honkai star rail]","laixxn","5374","4961","80x80","Anime","Video","","7"
"","[#43486:Blazing sun]","RNKT16","3182","3182","74x67","Nature","Painting","","8"
"","[#47965:a Kiss]","Bramati","3255","3255","80x80","People","Love","","9"
"","[#162111:Vintage holiday ornaments]","kristin1973","3553","3257","80x80","Holidays","","","10"
"","[#73831:Sunny day]","Zipfish","3429","3429","80x80","Nature","","","11"
"","[#190238:Owl]","K0rv0","3124","3124","80x80","Birds","","","12"
"","[#101178:Tom and Jerry]","Andrei Gh0st","3266","3266","80x80","Cartoon","","","13"
"","[#8408:Garden Cat Murchik]","VIKCAT","3450","3162","80x80","Cats","","","14"
"","[#191411:Flowers]","K0rv0","3231","3231","80x80","Flowers","Photorealism","","15"
"","[#190345:Model ship]","Oscargsr","3425","3140","80x80","Ships","Objects","","16"
"","[#102027:Junko Enoshima]","ered","4187","3838","80x80","Anime","Video","","17"
"","[#146970:Madonna]","Dimsum","5611","5180","75x80","People","Photorealism","","18"
"","[#184871:Demon Maiden]","K0rv0","3590","3314","80x80","Fantasy","Unreal","","19"
"","[#187646:Jaguar]","Mahla","3779","3464","80x80","Animals","Photorealism","","20"
"","[#162652:Frankenfurter RHPS]","kristin1973","3360","3080","80x80","Movies","People","","21"
"","[#81368:Space jelly]","Marco818","3582","3582","80x80","Space","","","22"
"","[#144175:Tree mosaic]","Lyysaq","3876","3876","80x80","Plants","Designs","","23"
"","[#188553:Cat]","K0rv0","3424","3160","80x80","Cats","","","24"
