"0%","Puzzle ID:Puzzle Name","Author","XP (before v21.0)","XP","MP","Color B/W","Size","Category 1","Category 2","Puzzle type","Added"
"","[#73777:flower]","Cream","3115","2855","58","color","80x80","Flowers","Painting","","1"
"","[#184054:Mario world]","MamaBear82","3220","2952","60","color","80x80","Video","","","2"
"","[#145803:Eva Mendes]","Dimsum","3145","2883","58","color","80x80","People","Photorealism","","3"
"","[#86960:Est]","LordOfChaos69","3054","2819","57","color","80x76","Anime","","","4"
"","[#190012:DNA]","Literalliterary","3062","2807","57","color","80x80","Science","","","5"
"","[#169000:Angry panda]","El'ka","3244","2974","60","color","80x80","Cartoon","Animals","","6"
"","[#175836:Hide and seek]","Dimsum","3255","2984","60","color","80x80","Cats","Plants","","7"
"","[#178847:Kokoro]","the agreste","3117","2857","58","color","80x80","Anime","Music","","8"
"","[#119315:Ocean-eyed cat]","kseenesis","3213","2946","59","color","70x80","Cats","Photorealism","","9"
"","[#175923:Mothership]","Arsynic","3052","2797","56","color","80x80","Music","","","10"
"","[#117837:Clover]","Iriegi","3136","2875","58","color","80x80","Video","","","11"
"","[#191545:JoJo's Bizarre Adventure - IGGY]","ayakasumiria","3005","2755","56","color","80x80","Anime","Dogs","","12"
"","[#141343:VW bus]","SilverFox","3038","2785","56","color","80x80","Around","Adventures","","13"
"","[#163115:Angora Wat]","Richardiii","3269","2996","60","color","80x80","Houses","History","","14"
"","[#162475:CoCo, the beginning]","Trice","3192","2946","59","color","80x79","Dogs","","","15"
"","[#191773:The God of Fortune]","K0rv0","3024","2791","56","color","80x80","Kawaii","Unreal","","16"
"","[#172580:Huntress dbd]","Lola21","3014","2762","56","color","80x80","Video","","","17"
"","[#190292:Pokemon Fusion]","FuryBreaker","3177","2912","59","color","68x76","Video","Super","","18"
"","[#27031:Lugia]","Kim Beattie","3058","2803","57","color","80x80","Super","","","19"
"","[#87026:Kantai collection]","LordOfChaos69","3235","2965","60","color","80x76","Anime","","","20"
"","[#94306:Stich]","DraKay","3241","2992","60","color","80x80","Cartoon","Unreal","","21"
"","[#185128:Pokemon Fusion]","FuryBreaker","3232","2962","60","color","80x80","Video","Super","","22"
"","[#83963:Aussie-Dex - 103 - Reeef]","Schaetzli","3154","2892","58","color","80x69","Unreal","","","23"
"","[#159402:Moonlight raven]","RNKT16","3260","2988","60","color","79x75","Birds","Twilight","","24"
"","[#47345:Sailor Moon]","Friia","3061","2806","57","color","80x80","Anime","Cats","","25"
"","[#192409:cross-stitch]","cross_stitch","3180","2915","59","color","80x80","Animals","Plants","","26"
"","[#155946:Sweet home]","DiDi_1280","3074","2818","57","color","80x80","Nature","Houses","","27"
"","[#190372:Roses]","K0rv0","3048","2794","56","color","80x80","Flowers","","","28"
"","[#183078:house with red doors]","emmm","3101","2842","57","color","80x80","Houses","Photorealism","","29"
"","[#93281:Cheetah]","Jagarciabo","3263","2992","60","color","80x80","Animals","Photorealism","","30"
"","[#101721:Qing Ri Dao]","guiroliang","3066","2831","57","color","77x79","Video","Weapons","","31"
"","[#93518:awin]","sia02","3204","2937","59","color","80x80","Anime","Fantasy","","32"
"","[#140996:Ekko]","Spike","3245","2975","60","color","80x80","Cartoon","Video","","33"
"","[#146717:Tanjiro]","the agreste","3063","2827","57","color","80x80","Anime","","","34"
"","[#178623:Ran]","the agreste","3050","2815","57","color","80x80","Anime","Music","","35"
"","[#169625:Hot Pants]","Robin111","3253","2982","60","color","80x80","Anime","","","36"
"","[#191456:Astarion Baldurs gate]","GravelEatr","3250","2979","60","color","70x80","Video","Fantasy","","37"
"","[#192955:Jojo's Bizarre Adventur - DIO]","ayakasumiria","3061","2806","57","color","80x80","Anime","","","38"
"","[#131167:Meteors]","Nono-Wawa","3269","2997","60","color","80x80","Space","","","39"
"","[#192869:Mellow beach]","ScintillantB","3033","2781","56","color","80x80","Nature","Twilight","","40"
"","[#171909:ONE PIECE - ""Red-Heared Shanks]","ayakasumiria","3147","2885","58","color","80x80","Anime","Pirates","","41"
"","[#184932:Dance Fever]","Ahmad Hisham","3255","2984","60","color","80x80","People","Music","","42"
"","[#149069:Spider]","VampirSam","3058","2823","57","color","80x80","Insects","","","43"
"","[#77823:SageKyuubiNaruto]","Lewy_Master","3040","2787","56","color","75x80","Anime","","","44"
"","[#158422:Wow Unholy Death Knight Emblem]","Vasakarat","3206","2939","59","color","80x80","Video","","","45"
"","[#156153:Over lord Albedo]","dekappa","3205","2938","59","color","80x80","Anime","","","46"
"","[#130875:Bouquet Of Lush Chrysanthemums]","KUKSYAA","3091","2833","57","color","73x80","Flowers","Painting","","47"
"","[#187296:Liquid Tension Experiment 3]","DGTheMii","3087","2829","57","color","80x80","Symbols","Music","","48"
"","[#183769:21E Lucina (SSBU)]","GravityGuava","3002","2751","56","color","80x80","Video","","","49"
"","[#27820:Chelsealogo]","Ninkazaya","3113","2854","58","color","80x80","Symbols","Sport","","50"
"","[#142533:Sailor Jerry tattoo]","kristin1973","3000","2750","55","color","80x80","People","Ships","","51"
"","[#101505:Kokichi for Russia]","ered","3022","2770","56","color","80x80","Anime","Video","","52"
"","[#119148:Mineswepper]","lapsha07russia","3142","2880","58","color","79x80","Video","","","53"
"","[#159033:Happy 1st Birthday Beautiful Boy!]","JodeStar","3048","2813","57","color","80x70","Cats","Love","","54"
"","[#88014:Koneko Toujou]","LordOfChaos69","3229","2960","60","color","75x80","Kawaii","Anime","","55"
"","[#193921:Pokemon Fusion]","FuryBreaker","3172","2928","59","color","77x72","Video","Super","","56"
"","[#156658:085 - Dodrio]","mperis","3084","2827","57","color","71x77","Video","Super","","57"
"","[#115263:Gura-san(Kagura) & Sadaharu]","YYZki","3202","2935","59","color","80x80","Anime","","","58"
"","[#27866:Boo!]","RNKT16","3178","2913","59","color","80x80","Holidays","","","59"
"","[#143890:Sailor Jerry tattoo 5]","kristin1973","3172","2908","59","color","60x78","Ships","","","60"
"","[#26406:Hi frog]","Michpower","3098","2840","57","color","80x80","Animals","","","61"
"","[#27986:Pokemon]","Charly4598","3260","2988","60","color","80x63","Super","","","62"
"","[#172849:Ornithoptera croesus (butterfly)]","akjaZ","3156","2893","58","color","80x55","Insects","Photorealism","","63"
"","[#194480:Pokemon Fusion]","FuryBreaker","3251","2980","60","color","79x73","Video","Super","","64"
"","[#194172:Umbcune]","Hyperion914","3158","2915","59","color","80x64","Video","Super","","65"
"","[#194788:TMNT]","Charly4598","3063","2827","57","color","80x80","Cartoon","Super","","66"
"","[#100618:Control panel]","Bubba da Artist","3223","2954","60","color","80x80","Fiction","Machines","","67"
"","[#76451:Casper 2(uncle1)]","Whitiger13","3028","2795","56","color","80x63","Cartoon","Adventures","","68"
"","[#194693:View from the Window at Le Gras]","How To","3105","2846","57","color","80x58","Nature","History","","69"
"","[#169953:18. John McEwen]","DGTheMii","3028","2776","56","color","80x80","People","History","","70"
"","[#81005:ONE PIECE "" SANJI ""]","ayakasumiria","3225","2956","60","color","80x80","Anime","","","71"
"","[#195269:Stripper 19]","meowing","3152","2889","58","color","61x80","People","Photorealism","","72"
"","[#86876:Overlord]","LordOfChaos69","3140","2878","58","color","69x80","Anime","","","73"
"","[#10689:Dialga]","susanlily","3244","2994","60","color","80x80","Super","","","74"
"","[#184600:Pink street]","Sonomy","3041","2807","57","color","70x70","Nature","Twilight","","75"
"","[#67942:Disney princess]","Rolton","3024","2791","56","color","80x80","Kawaii","Cartoon","","76"
"","[#151123:Woman]","Asbjorg","3054","2799","56","color","80x80","People","Photorealism","","77"
"","[#164563:Mouse]","mikang","3165","2921","59","color","80x80","Kawaii","Animals","","78"
"","[#94092:Mecha - 02e]","Schaetzli","3153","2890","58","color","79x80","Fiction","","","79"
"","[#94085:Mecha - 01b]","Schaetzli","3048","2814","57","color","80x80","Fiction","","","80"
"","[#51661:On the Ninth Day of Christmas...]","minkimandola","3205","2958","60","color","75x75","Holidays","","","81"
"","[#74056:Spitfire]","Jaapfun33","3066","2810","57","color","80x68","Transport","Weapons","","82"
"","[#36222:Bird]","OlyaLe","3238","2969","60","color","80x76","Birds","Plants","","83"
"","[#185440:42 R.O.B. (SSBU)]","GravityGuava","3215","2948","59","color","80x75","Video","","","84"
"","[#62754:Lilac]","Rina1811","3089","2831","57","color","65x65","Flowers","","","85"
"","[#67412:one piece NICO-ROBIN]","ayakasumiria","3046","2812","57","color","80x80","Anime","","","86"
"","[#163976:Lucanus dongi]","Schaetzli","3232","2963","60","color","59x80","Insects","","","87"
"","[#166054:KIMETSU]","ayakasumiria","3006","2755","56","color","80x80","Anime","","","88"
"","[#139918:Joker]","the agreste","3019","2768","56","color","80x80","Movies","People","","89"
